timestep;MFH_A_0;MFH_A_1;MFH_A_2;MFH_B_0;MFH_B_1;MFH_B_2;MFH_C_0;MFH_C_1;MFH_C_2;MFH_D_0;MFH_D_1;MFH_D_2;MFH_E_0;MFH_E_1;MFH_E_2;MFH_F_0;MFH_F_1;MFH_F_2;MFH_G_0;MFH_G_1;MFH_G_2;MFH_H_0;MFH_H_1;MFH_H_2;MFH_I_0;MFH_I_1;MFH_I_2;MFH_J_0;MFH_J_1;MFH_J_2
8377.0;496.039;767.723;426.241;797.618;787.913;461.783;332.368;452.546;431.816;442.795;469.084;330.804;432.994;656.843;387.347;480.031;493.713;279.489;330.456;291.956;575.242;458.01;642.194;548.039;406.649;618.729;1503.883;341.206;1716.092;393.8
8377.25;301.418;1111.998;311.511;603.682;564.299;544.116;429.736;522.029;355.601;606.113;416.057;374.332;249.939;503.976;330.368;571.479;333.73;279.489;575.536;469.232;384.269;417.992;411.372;432.697;654.614;404.878;658.152;341.206;232.611;393.8
8377.5;301.418;1201.85;311.511;289.973;590.854;464.953;591.345;408.941;354.08;666.343;416.057;695.504;325.796;458.959;280.484;499.208;333.73;460.428;338.514;466.693;384.269;299.789;411.372;552.51;468.603;318.171;597.312;341.206;232.611;647.749
8377.75;463.844;609.194;311.511;379.173;495.559;301.158;852.048;680.126;308.886;511.665;244.08;529.43;443.155;641.81;463.595;348.249;712.721;587.77;365.956;579.548;368.947;299.789;701.915;597.978;378.738;344.163;842.688;341.206;329.851;616.684
8378.0;585.753;527.853;311.511;289.973;347.096;382.62;332.368;612.698;475.013;442.795;244.08;564.38;388.601;641.057;424.909;348.249;712.721;615.555;291.416;429.906;352.872;386.628;499.204;771.737;478.173;432.889;540.874;533.938;307.324;393.8
8378.25;695.48;318.879;311.511;603.682;494.93;474.046;332.368;297.903;400.794;711.925;344.318;560.567;391.027;345.288;280.484;348.249;454.716;573.814;348.913;429.906;501.494;417.992;563.799;708.979;882.538;479.457;318.059;498.842;285.448;393.8
8378.5;301.418;494.182;458.044;830.978;347.096;697.422;429.736;297.903;354.08;635.787;407.766;624.476;249.939;345.288;280.484;456.577;587.174;364.549;525.914;814.379;419.768;430.707;837.651;466.577;520.232;318.171;461.687;341.206;284.794;575.392
8378.75;503.427;470.483;311.511;289.973;347.096;380.321;458.094;614.56;308.886;458.23;244.08;330.804;403.851;615.036;365.673;679.808;525.027;375.368;472.428;654.439;508.904;366.289;626.5;581.622;406.649;318.171;318.059;341.206;232.611;393.8
8379.0;529.069;318.879;426.241;289.973;808.058;301.158;332.368;297.903;315.304;483.963;244.08;374.342;662.762;615.036;463.595;475.886;401.724;587.77;401.047;364.475;713.156;400.232;505.769;307.066;298.298;604.328;597.312;490.899;401.67;464.533
8379.25;462.036;474.095;311.511;379.173;564.299;301.158;332.368;478.423;432.723;597.472;416.057;388.887;571.655;617.647;367.757;348.249;441.051;501.865;552.104;389.997;283.161;693.891;349.368;579.615;298.298;404.878;745.074;341.206;431.675;695.875
8379.5;559.337;791.684;421.067;603.682;347.096;478.317;516.181;297.903;660.79;541.717;416.057;268.893;427.904;503.976;414.259;348.249;568.805;364.549;739.267;643.175;457.594;464.249;349.368;697.196;465.234;318.171;415.484;341.206;337.329;652.314
8379.75;654.729;836.93;311.511;807.56;494.93;563.878;603.994;297.903;308.886;570.893;344.318;587.804;403.851;345.288;387.347;439.698;494.137;279.489;518.655;593.309;283.161;299.789;349.368;423.351;298.298;318.171;1710.631;341.206;284.794;575.392
8380.0;641.99;470.483;341.985;666.059;347.096;618.339;603.994;395.031;354.08;492.604;337.056;598.923;403.851;488.19;280.484;348.249;333.73;502.169;361.946;461.893;454.429;456.85;770.678;307.066;539.891;573.609;684.502;341.206;456.747;393.8
8380.25;375.516;318.879;372.459;357.49;564.299;752.419;332.368;297.903;380.564;329.285;244.08;496.485;249.939;465.433;428.291;514.109;333.73;406.289;347.796;291.956;384.269;299.789;816.596;451.725;618.845;543.621;437.195;598.32;285.448;393.8
8380.5;351.309;318.879;311.511;390.373;1029.218;356.736;332.368;570.955;647.714;739.734;368.845;604.104;391.027;641.81;378.406;514.109;333.73;365.09;608.485;674.937;585.778;417.992;525.225;611.236;921.427;318.171;408.206;490.899;232.611;573.562
8380.75;481.705;575.306;311.511;289.973;347.096;474.046;429.234;533.167;432.723;686.302;469.084;490.247;432.994;345.288;539.906;348.249;514.471;416.263;478.109;466.693;791.519;299.789;659.367;401.488;734.262;566.164;408.206;341.206;276.997;737.204
8381.0;505.549;663.818;311.511;289.973;414.093;474.046;429.736;522.029;308.886;606.113;836.107;365.347;403.851;376.935;280.484;700.197;587.174;279.489;327.02;291.956;450.471;400.232;505.769;418.643;330.162;594.175;571.408;341.206;503.357;518.658
